intercept,sample_size,c_number,cov_mat,diag_cov,marginal_standardization_estimate,marginal_standardization_SE,ip_weighting_estimate,ip_weighting_robust_SE,ip_weighting_boot_SE
-2,1000,10,0,1,0.4973621968565542,0.1352762966020891,0.6389845460842908,0.18347595189702362,0.1506094817719591
-2,1000,10,0,1,0.5059711986438011,0.12929424966831865,0.6526462394679765,0.18076505656994676,0.15710658662650903
-2,1000,10,0,1,0.43300240904794035,0.12299872711104202,0.5040117718654823,0.18191989191191185,0.1318057659324513
-2,1000,10,0,1,0.4095400125031887,0.11298921062541321,0.4389389068313688,0.1697697841120318,0.12232733769796933
-2,1000,10,0,1,0.30952732060479937,0.1195508870038413,0.38818892316796944,0.1962716892607456,0.14680968428523727
-2,1000,10,0,1,0.37032848662490664,0.1187821331236207,0.421053542824669,0.16658108172688224,0.12908681027802196
-2,1000,10,0,1,0.2602873381784581,0.12560096936992513,0.311360907517676,0.1749650750419374,0.13628360652534538
-2,1000,10,0,1,0.298077208236897,0.11504988183785352,0.334786600763608,0.18326262988947203,0.13132699361632144
-2,1000,10,0,1,0.2520291673088272,0.12469002017601889,0.34581540105472397,0.1740865359899054,0.13725957715175738
-2,1000,10,0,1,0.32822591439711074,0.12261798077143295,0.43984753301148344,0.1761318177763262,0.14622138362951825
-2,1000,10,0,1,0.3543596074702715,0.1112332224484263,0.360228253065602,0.1738832294071724,0.12431068209809702
-2,1000,10,0,1,0.6711749199945171,0.1338247047598564,0.8968272823536109,0.18589370716370637,0.16034372574874015
-2,1000,10,0,1,0.3979721076939441,0.13581165453694727,0.48044853987411673,0.17619258847998887,0.1399813524053302
-2,1000,10,0,1,0.2279710801973945,0.1160057676089694,0.17414540625291106,0.18100122670947605,0.1288786344220277
-2,1000,10,0,1,0.18500384916407783,0.11273137758519267,0.24832337183953107,0.17375183430124594,0.1256361749001435
-2,1000,10,0,1,0.312641625969842,0.12233993459351208,0.41404277765823017,0.1742943547263711,0.13425032900035308
-2,1000,10,0,1,0.7214575954615562,0.14175632146151984,0.8235129730784232,0.1967892233083712,0.1686855069795607
-2,1000,10,0,1,0.484614136943787,0.12563474923063309,0.5799023439551816,0.17309856078300895,0.13885904965706533
-2,1000,10,0,1,0.4108712443573508,0.12261808818582298,0.545104365955809,0.1731864066759763,0.14406431550019408
-2,1000,10,0,1,0.31105564419030873,0.12121983148313077,0.3594330777272917,0.16219824627260995,0.12952920970772128
-2,1000,10,0,1,0.2821170580018909,0.12292167238240838,0.2936887566770386,0.19057765476012345,0.14304622313092893
-2,1000,10,0,1,0.5756587126498035,0.13104756057136077,0.532396819251219,0.19496989102821785,0.1510274349492777
-2,1000,10,0,1,0.26170311832026233,0.12739933422236488,0.4373767087643201,0.19057311133907862,0.15677330245997223
-2,1000,10,0,1,0.25400932796606673,0.1223499221766297,0.32400695090028914,0.1815485395395574,0.13676781770815613
-2,1000,10,0,1,0.32646069815527295,0.11655247517255514,0.418968785968096,0.18741080252185682,0.14325786867047996
-2,1000,10,0,1,0.4023161184326209,0.11983795017672602,0.5436344160438892,0.1771756708278332,0.14147872839083372
-2,1000,10,0,1,0.31321428736117246,0.11454824936468662,0.3909961492605199,0.1758741802689589,0.13173583499453978
-2,1000,10,0,1,0.6283831265216102,0.12637047078555927,0.7470409167820965,0.19169382277382324,0.1577800522409476
-2,1000,10,0,1,0.5732915341199725,0.13710577528930698,0.5979428600566606,0.1748879277090194,0.1450896974440466
-2,1000,10,0,1,0.34058838105014716,0.1320347396157835,0.40827123484871336,0.1831574154198139,0.14794385963874726
-2,1000,10,0,1,0.41246176181560296,0.12288715491456585,0.4770472232070422,0.19455381848375278,0.1467734252128571
-2,1000,10,0,1,0.4180375596503259,0.1279570184358622,0.6038805312537785,0.1794262508005213,0.14428909288974393
-2,1000,10,0,1,0.2768665404625329,0.120827509203385,0.340124580499046,0.17776633566310876,0.13518268738014627
-2,1000,10,0,1,0.33658607286996406,0.13459941502726347,0.3861413213067249,0.18573995343818947,0.1530503838602682
-2,1000,10,0,1,0.34529754716567657,0.11758753708527818,0.3476949359019164,0.1747386256513364,0.12499471248963251
-2,1000,10,0,1,0.2324680698730358,0.12470863123299271,0.35726006798144744,0.17781714818244135,0.1490698020905713
-2,1000,10,0,1,0.36508869140442884,0.12172425682630234,0.44208408780769404,0.1798589520219391,0.14500131565345428
-2,1000,10,0,1,0.34236994512216606,0.12033657697991788,0.3862097113856355,0.1939323732665009,0.1570253140205889
-2,1000,10,0,1,0.276029596041222,0.12387517400879457,0.3155803969771694,0.1953464625243703,0.15738607667780755
-2,1000,10,0,1,0.26250799069724207,0.13067231544743105,0.3392774389369558,0.17680411424285172,0.14697555505623192
-2,1000,10,0,1,0.5152389467910888,0.12423562693222846,0.5916551575886165,0.1784006448220014,0.1398076769480425
-2,1000,10,0,1,0.3840502402303141,0.13007923947310748,0.4259511416387523,0.18192495908315373,0.14103604094146205
-2,1000,10,0,1,0.5262640319805623,0.1353715951213526,0.5659996644515429,0.1994531579454821,0.16172248530706335
-2,1000,10,0,1,0.40792419744937963,0.10887482914467357,0.5071093879242738,0.16499144090166498,0.12593599403059966
-2,1000,10,0,1,0.3643221985251962,0.1262752766218131,0.46489361707779975,0.17184216299306135,0.14133531047087428
-2,1000,10,0,1,0.6035628314574905,0.12815680016180933,0.6426917042658911,0.1773257964016158,0.14320976306778885
-2,1000,10,0,1,0.4622934647418421,0.11921584158771746,0.45505953674345717,0.18563558002526984,0.13577545982502082
-2,1000,10,0,1,0.5170231334683134,0.12239734386646901,0.5423116726071309,0.196917257540316,0.14743502508984058
-2,1000,10,0,1,0.35899653982647783,0.12277779764110328,0.4519851342949104,0.19336263483323557,0.15294464065682578
-2,1000,10,0,1,0.4106540281174742,0.12499994348927039,0.5364551868376869,0.17723016235435252,0.14463475083684185
-2,1000,10,0,1,0.2894637862845875,0.11738275245689724,0.33566544760044703,0.16913326122085898,0.13038609649959104
-2,1000,10,0,1,0.27240662294053475,0.11499687539182829,0.30218717689688596,0.1693259929009233,0.13114105990640101
-2,1000,10,0,1,0.5056386899627848,0.12954401588371983,0.4660662815679672,0.20954690871189113,0.16580378022564313
-2,1000,10,0,1,0.6562382703973482,0.13082017744943067,0.7789612436998463,0.18350809765735548,0.15132592509131107
-2,1000,10,0,1,0.4730111115236554,0.13068680445872322,0.47384406854384103,0.19284956223920854,0.15894460985627856
-2,1000,10,0,1,0.2896162826710624,0.1253393362237608,0.5319260374331172,0.1764071099216395,0.14335167078303201
-2,1000,10,0,1,0.0998545576418684,0.11194275251626462,0.17781321263088828,0.17368834668074526,0.1300613195931684
-2,1000,10,0,1,0.37712109408426264,0.1321938975612992,0.4629796286511807,0.19011364805348827,0.15076159669974368
-2,1000,10,0,1,0.6139935674818005,0.1291035561255732,0.6671897415364403,0.18414421203565584,0.1456127981868725
-2,1000,10,0,1,0.4759061914472617,0.12820952597333263,0.5877578623785928,0.196099202722557,0.17119371615051007
-2,1000,10,0,1,0.36520075428518955,0.13703527422133246,0.36556807311180506,0.19702270326838556,0.17093999508679358
-2,1000,10,0,1,0.43751602419031604,0.1372024257807993,0.4779217824467603,0.1787144918331237,0.15224348208394026
-2,1000,10,0,1,0.3535589610045554,0.11629391105819899,0.4439883898916791,0.17133370157277572,0.13143466472504872
-2,1000,10,0,1,0.23904616024824893,0.11088600467270437,0.3763438899109923,0.17685880766702616,0.12804445574941187
-2,1000,10,0,1,0.48283441814407513,0.1224662205550449,0.5146460718850008,0.17721134998427446,0.12745640048671347
-2,1000,10,0,1,0.5148191087421917,0.12956101894104385,0.5327218099914564,0.19444285935953198,0.1581711265947417
-2,1000,10,0,1,0.37888930723375563,0.1124883669436546,0.3984537037936061,0.18559787990899185,0.12710057044662054
-2,1000,10,0,1,0.44564145519815285,0.13117342564941728,0.4352014930925076,0.1882517356568442,0.15633986258336122
-2,1000,10,0,1,0.5933714088305017,0.1421275046800717,0.7216339317177375,0.19150396276675227,0.15335069561788592
-2,1000,10,0,1,0.37397584842033665,0.11936957270610918,0.4367917968652793,0.18523487517493262,0.14868534762717003
-2,1000,10,0,1,0.3661785092492267,0.126113251621976,0.47136347263438894,0.18732898322439354,0.15266739129651685
-2,1000,10,0,1,0.31228239482763925,0.11192897120584795,0.34864154698488176,0.175408164411407,0.12658277912459368
-2,1000,10,0,1,0.3953628402717562,0.1345469719406147,0.41773017414915864,0.18800637343192075,0.15257014020683368
-2,1000,10,0,1,0.23095594439011602,0.12115426310256971,0.21128168481087423,0.17488032282611374,0.13085093897795175
-2,1000,10,0,1,0.4184446593612292,0.12309263706599737,0.5163367866524495,0.1695136868839069,0.1341766709633435
-2,1000,10,0,1,0.4918787358250045,0.12061390765442906,0.5786242739528311,0.17893087098671998,0.13997295152496972
-2,1000,10,0,1,0.46521663192489027,0.12459929350874277,0.6024750183952616,0.17260818403602265,0.14267414237512385
-2,1000,10,0,1,0.4551749597408637,0.11485023526435914,0.4400495808114538,0.16859681562242748,0.1206470772447682
-2,1000,10,0,1,0.3507200108731213,0.11594208547974424,0.4925845936385493,0.17997083441983888,0.13492379176635622
-2,1000,10,0,1,0.4480962690405083,0.12493133015234274,0.4598123646092549,0.17867327601481026,0.1370414482847595
-2,1000,10,0,1,0.3892738964644183,0.1238573446889842,0.3993623366674055,0.18484676168260877,0.14993861209735415
-2,1000,10,0,1,0.20851132881011084,0.11909574689394872,0.41420220207284986,0.17223528219438902,0.142173496329032
-2,1000,10,0,1,0.3780296837412114,0.13651459687402054,0.41815911231955505,0.18533078796355645,0.15675957419791936
-2,1000,10,0,1,0.25905558808337176,0.1263436087042548,0.3930409681879787,0.17980236546596687,0.1522423557537628
-2,1000,10,0,1,0.3761837759943518,0.11734902710541611,0.3323942323070086,0.19862315535958044,0.14738450239312212
-2,1000,10,0,1,0.5826691082121154,0.1199178869900351,0.5307541374572199,0.18583129514907526,0.13730182709240962
-2,1000,10,0,1,0.257573311987579,0.12880486488127454,0.3078491516320303,0.18711807094800656,0.1526092785720469
-2,1000,10,0,1,0.039959260658309945,0.11646053532675878,0.09102536137769485,0.17546407548699153,0.12695683143326245
-2,1000,10,0,1,0.5056964598406652,0.1314562828582237,0.5928539040571068,0.18324137135177165,0.15362167431614882
-2,1000,10,0,1,0.5552332525085559,0.11156708470217874,0.6310354819553132,0.17859127509461137,0.1338404012652101
-2,1000,10,0,1,0.6193337882976362,0.12813234671011245,0.7267840611868671,0.18205826731462033,0.14197463494650936
-2,1000,10,0,1,0.42506188241133386,0.11681901306700479,0.49151872510107536,0.1700585740897299,0.12715463462138724
-2,1000,10,0,1,0.3775771739292504,0.11398213256207954,0.4425327313214666,0.18196955170263404,0.13751559124032395
-2,1000,10,0,1,0.20320997877163322,0.12299623947405373,0.26109890717075546,0.1866605389122402,0.16040481549352445
-2,1000,10,0,1,0.4228869447462916,0.12724088656348026,0.5543114719240262,0.18858692372826294,0.14585959967752338
-2,1000,10,0,1,0.5443121266775542,0.11544160420611563,0.5634714264008913,0.1738598421043113,0.12909822758168513
-2,1000,10,0,1,0.35220510537675437,0.13082718474792066,0.40234889150317726,0.17190965119211554,0.14311876332544543
-2,1000,10,0,1,0.533662378888442,0.13771912726804397,0.5359230652950976,0.1873793449728248,0.14812303700708818
-2,1000,10,0,1,0.39350533053846365,0.12555957575682947,0.4220000755515782,0.19309902584214417,0.1474515846705393
-2,1000,10,0,1,0.36831584168206366,0.126477970138506,0.38875984277050873,0.18895896948450455,0.148360618959948
-2,1000,10,0,1,0.3474566043644794,0.12247945794036039,0.4153159437494032,0.17899809407257042,0.13442858006667793
-2,1000,10,0,1,0.39450405135892913,0.1194142722446819,0.45822087217526086,0.17508272689649698,0.13411215936210552
-2,1000,10,0,1,0.3186238407047157,0.11181731607196016,0.3467931469392065,0.17874852003696434,0.13182222115124842
-2,1000,10,0,1,0.3988812214593296,0.1263023831541349,0.4935202654205874,0.17669114551463191,0.14146558040670376
-2,1000,10,0,1,0.36464052785835804,0.1180495993864449,0.45094498033068,0.17856757200000686,0.13400418846981138
-2,1000,10,0,1,0.4636392963718189,0.13122360435830482,0.6399178731185854,0.17839875759011228,0.15082255615043716
-2,1000,10,0,1,0.20390554751877935,0.11217412487796972,0.2751989098187781,0.17492472948131438,0.13028883662413623
-2,1000,10,0,1,0.5568403563480337,0.127651196501036,0.5913042584131275,0.18933901897178684,0.14320800781291684
-2,1000,10,0,1,0.38885949826079724,0.11353280182795743,0.4247129790696549,0.17085765883366136,0.12375605529706903
-2,1000,10,0,1,0.2967713478357983,0.12928249577569814,0.32534359185156964,0.17830676847818136,0.14539233806041724
-2,1000,10,0,1,0.3714655244524669,0.11887365058302331,0.42455518337328746,0.1814064710289285,0.13933485637937748
-2,1000,10,0,1,0.31728047522018676,0.11325608709811921,0.37538525932458783,0.16767116540801463,0.12022212479323648
-2,1000,10,0,1,0.2179210036799098,0.11182314163561323,0.323646962181435,0.17618214874349056,0.13123217698969702
-2,1000,10,0,1,0.3311522538493411,0.1203007674680828,0.4199760455760185,0.17738611829929316,0.14184010185583723
-2,1000,10,0,1,0.49445209089609266,0.11859573957515208,0.645618423504696,0.18411280020040866,0.14211892601320153
-2,1000,10,0,1,0.24481778954214437,0.11346022407829129,0.36157970830751063,0.18023125879748086,0.1403452433557171
-2,1000,10,0,1,0.2514266773398851,0.11905317367596781,0.32501365387341163,0.17891630398136604,0.13822246664109158
-2,1000,10,0,1,0.41447457060749954,0.12383061771213348,0.5002918653505252,0.17753198859078786,0.143656280555364
-2,1000,10,0,1,0.32601320427135244,0.1113953320138958,0.3560764656509376,0.17593887672840183,0.12874649662041773
-2,1000,10,0,1,0.2972199169253175,0.11460117198300902,0.37868772900547826,0.18953987034709163,0.13943411376345377
-2,1000,10,0,1,0.37796830520675495,0.1224793885433809,0.43316585016576375,0.1751370518253882,0.13780384198754433
-2,1000,10,0,1,0.2830739835980799,0.12246226551119563,0.3696557391096827,0.1910608208030811,0.15753922063360112
-2,1000,10,0,1,0.20294936307629927,0.12579353938339358,0.34620441429634286,0.17405901311390354,0.142001952578643
-2,1000,10,0,1,0.3993565488425284,0.11426490531864542,0.42268437227064715,0.1761988637841944,0.13389166094175073
-2,1000,10,0,1,0.4490918275596934,0.1252762177606453,0.5276654886117652,0.18177805290495141,0.13950084041619665
-2,1000,10,0,1,0.3098323523298659,0.10834361485795972,0.29022632853515046,0.17170596128896534,0.11561523720335362
-2,1000,10,0,1,0.2258077544168095,0.11633501764144279,0.41257314715881654,0.17888706375302443,0.1319321652026341
-2,1000,10,0,1,0.538750602076454,0.12449454518700138,0.61415294828943,0.18437103082061929,0.1437675610803091
-2,1000,10,0,1,0.47981969284426096,0.12431560600727444,0.640930099391875,0.1763400985378158,0.14445921787315052
-2,1000,10,0,1,0.34142229186946466,0.12079700149259696,0.3560549984370727,0.17725048166077426,0.1359295300912507
-2,1000,10,0,1,0.5062645541266712,0.12986531040621552,0.6094075870726635,0.1788053749296568,0.1461039063313289
-2,1000,10,0,1,0.37920179313035013,0.12564800768019013,0.46561529790705225,0.19289821607585972,0.15521076475448684
-2,1000,25,0,1,0.31971004064247843,0.1030823649717311,0.6764508132101509,0.20979892340043235,0.1769134768849665
-2,1000,25,0,1,0.31420455954046633,0.105750123186471,0.5993149675794155,0.20942788826445344,0.18233263327690005
-2,1000,25,0,1,0.3969197176358566,0.1054058748836687,0.6168700658334942,0.2158166480210711,0.1647009956904293
-2,1000,25,0,1,0.3110170618376592,0.11287097761406126,0.39306546256192487,0.22029842363667126,0.175445193660344
-2,1000,25,0,1,0.2509271793389907,0.1058171021950127,0.511745808813544,0.22181082759804274,0.20798721717562232
